Scheme,AUROC
first_last_k,0.6701846965699209
first_k,0.6646563638648071
low_uncertainty_only,0.6552330694810906
unweight_middle,0.6532227666792312
confidence_proportional,0.6523432592034175
nll_sqrt,0.6518406835029527
edges_peak,0.6509611760271391
nll_squared_middle_focus,0.6484482975248146
uniform,0.6468149264983037
nll_proportional,0.6444276919210955
negate_last_3,0.6441764040708632
last_k,0.6439251162206308
nll_cubic_middle_focus,0.6422917451941199
linear_decreasing,0.6414122377183064
surprisal,0.6409096620178415
gaussian_middle,0.6392762909913307
high_uncertainty_only,0.6376429199648196
negate_last_20pct,0.63663776856389
unweight_beginning,0.6357582610880763
negate_first_20pct,0.6334966704359845
recency_bias,0.6334966704359843
only_end,0.6312350797838925
exponential_decreasing,0.63098379193366
linear_increasing,0.6287222012815681
middle_peak,0.6287222012815681
negate_first_3,0.628093981655987
quadratic_decreasing,0.6248272396029652
exponential_increasing,0.6231938685764544
quadratic_increasing,0.6211835657745948
negate_last_5,0.6106294760648322
unweight_end,0.6086191732629727
nll_cubic,0.6038447041085563
only_beginning,0.6032164844829753
nll_quartic,0.5988189471039075
nll_quintic,0.596808644302048
nll_squared_negate_end,0.5932906143987939
nll_cubic_negate_end,0.5838673200150774
only_middle,0.5783389873099636
