Scheme,AUROC
nll_squared_negate_end,0.7302405498281787
unweight_end,0.7173539518900345
negate_last_5,0.7169243986254296
nll_cubic_negate_end,0.7115549828178694
negate_last_20pct,0.7076890034364262
linear_decreasing,0.7036082474226805
first_k,0.7012457044673539
only_middle,0.6999570446735395
exponential_decreasing,0.6984536082474228
negate_last_3,0.6982388316151203
quadratic_decreasing,0.6920103092783506
gaussian_middle,0.6832044673539519
surprisal,0.6804123711340206
middle_peak,0.6756872852233677
nll_sqrt,0.6752577319587629
uniform,0.6718213058419243
low_uncertainty_only,0.6716065292096219
high_uncertainty_only,0.6705326460481099
confidence_proportional,0.6617268041237113
unweight_beginning,0.6554982817869416
negate_first_20pct,0.6548539518900344
negate_first_3,0.6520618556701031
recency_bias,0.6466924398625429
nll_proportional,0.6411082474226805
first_last_k,0.6389604810996564
nll_squared_middle_focus,0.6385309278350515
nll_cubic_middle_focus,0.6368127147766323
edges_peak,0.6361683848797252
linear_increasing,0.6284364261168386
exponential_increasing,0.613831615120275
only_beginning,0.6101804123711341
unweight_middle,0.6099656357388317
quadratic_increasing,0.6099656357388316
last_k,0.6097508591065293
nll_quartic,0.6041666666666666
nll_quintic,0.6039518900343642
nll_cubic,0.603307560137457
only_end,0.5790378006872853
