Scheme,AUROC
exponential_decreasing,0.7328645833333334
quadratic_decreasing,0.7326041666666667
linear_decreasing,0.7319270833333333
edges_peak,0.7305989583333334
high_uncertainty_only,0.7283854166666668
nll_sqrt,0.7258333333333333
unweight_middle,0.7233333333333334
uniform,0.7232812500000001
surprisal,0.7219270833333333
unweight_end,0.7209895833333333
negate_last_20pct,0.719375
low_uncertainty_only,0.7152864583333334
first_k,0.7143489583333333
negate_last_3,0.7128645833333334
nll_proportional,0.7116145833333333
first_last_k,0.7115885416666667
nll_cubic_middle_focus,0.7110677083333334
only_beginning,0.7102604166666667
nll_squared_middle_focus,0.7097395833333333
nll_squared_negate_end,0.7091406250000001
nll_cubic_negate_end,0.7088802083333332
negate_first_3,0.7073437499999999
confidence_proportional,0.7071354166666667
gaussian_middle,0.7068229166666669
nll_quintic,0.7035937499999999
nll_quartic,0.7020052083333332
nll_cubic,0.6998177083333333
last_k,0.6994791666666667
middle_peak,0.6966927083333334
negate_last_5,0.6965104166666667
recency_bias,0.6962239583333334
linear_increasing,0.6948177083333333
negate_first_20pct,0.6920052083333332
exponential_increasing,0.6898958333333334
quadratic_increasing,0.68671875
unweight_beginning,0.6849479166666668
only_end,0.6720052083333333
only_middle,0.6661979166666667
