Scheme,AUROC
last_k,0.8447690217391305
first_last_k,0.8423063858695653
edges_peak,0.8338994565217391
quadratic_increasing,0.832625679347826
exponential_increasing,0.8319463315217392
unweight_middle,0.8263417119565218
recency_bias,0.8260869565217391
linear_increasing,0.8254925271739131
low_uncertainty_only,0.8237941576086956
only_end,0.8208220108695653
confidence_proportional,0.8199728260869567
uniform,0.8179347826086957
unweight_beginning,0.8175951086956522
negate_first_20pct,0.8140285326086956
negate_first_3,0.8121603260869564
high_uncertainty_only,0.8068953804347827
gaussian_middle,0.7999320652173912
negate_last_5,0.7984035326086956
surprisal,0.7982336956521738
first_k,0.7933933423913043
negate_last_3,0.792374320652174
nll_quintic,0.7900815217391305
nll_sqrt,0.7886379076086957
nll_quartic,0.7880434782608696
middle_peak,0.7838824728260869
linear_decreasing,0.7835427989130435
nll_cubic,0.7835427989130435
negate_last_20pct,0.7802309782608695
nll_cubic_middle_focus,0.7797214673913044
nll_proportional,0.7795516304347827
nll_squared_middle_focus,0.7776834239130435
exponential_decreasing,0.7735224184782609
nll_cubic_negate_end,0.7684273097826088
quadratic_decreasing,0.7652004076086957
nll_squared_negate_end,0.7621433423913044
unweight_end,0.7583220108695652
only_middle,0.7287703804347827
only_beginning,0.7260529891304348
