Scheme,AUROC
nll_quintic,0.8084161931818182
nll_quartic,0.8068181818181819
nll_cubic,0.8065222537878788
nll_proportional,0.8051017992424242
surprisal,0.7982954545454547
nll_sqrt,0.7936197916666667
edges_peak,0.7796519886363636
high_uncertainty_only,0.7736150568181818
first_last_k,0.7726680871212122
nll_cubic_negate_end,0.7720762310606062
unweight_middle,0.7648555871212122
low_uncertainty_only,0.7623697916666667
uniform,0.7594105113636365
first_k,0.7459161931818181
recency_bias,0.7425426136363638
nll_squared_negate_end,0.739464962121212
exponential_decreasing,0.7321851325757576
linear_decreasing,0.7300544507575758
negate_first_3,0.7283380681818181
quadratic_decreasing,0.7263257575757577
linear_increasing,0.7246685606060606
negate_first_20pct,0.7242542613636364
gaussian_middle,0.7213541666666666
unweight_end,0.7186316287878788
confidence_proportional,0.7179805871212122
last_k,0.7164417613636364
exponential_increasing,0.7141335227272727
only_beginning,0.7121212121212122
quadratic_increasing,0.7102272727272728
unweight_beginning,0.7102272727272727
negate_last_3,0.7082149621212122
negate_last_5,0.7042495265151515
negate_last_20pct,0.703716856060606
nll_cubic_middle_focus,0.7027698863636364
nll_squared_middle_focus,0.6983901515151515
middle_peak,0.6762547348484849
only_end,0.6730587121212122
only_middle,0.6554805871212122
