example_id,dataset_type,response,accuracy,g_nll,average_nll,perplexity,avg_token_probability,sequence_length
qg_1091--8/8_3215147.txt#0_2,short,"mr. green, mr. plum, miss scarlett, miss white",0.0,9.955717833803646,0.7111227024145462,2.036276107906893,0.6704612596434055,14
wh_1864--103/103_769441.txt#0_0,short,ringway,1.0,0.009562393126543611,0.004781196563271806,1.0047926447215867,0.9952399422824882,2
sfq_3826--197/197_1325980.txt#0_0,short,dalziel and pascoe,1.0,0.09864233591360971,0.01972846718272194,1.0199243594890621,0.9811584007469358,5
qb_1253--27/27_299742.txt#0_0,short,al-capone,0.0,8.508776977647358,2.8362589925491193,17.051854950271164,0.5942305745998094,3
dpql_3121--176/176_546993.txt#0_1,short,netherlands,1.0,0.5893439570209011,0.29467197851045057,1.3426858566284676,0.7771136450881106,2
bb_7851--165/165_1006156.txt#0_0,short,1967,1.0,0.00011789557174779475,3.929852391593158e-05,1.0000392992961131,0.9999607022807829,3
qw_5335--185/185_1151387.txt#0_1,short,charlie chan,1.0,0.04073321266332641,0.013577737554442137,1.0136703336401638,0.9865882780997538,3
odql_13192--6/6_701893.txt#0_1,short,gettysburg,1.0,0.06448356448933623,0.016120891122334058,1.016251533768798,0.9843864887328615,4
sfq_20420--125/125_1922602.txt#0_1,short,wisconsin,1.0,0.00810222355357837,0.004051111776789185,1.0040593286221426,0.9959651099352412,2
bb_9374--54/54_2690886.txt#0_2,short,australia,1.0,0.10851778835058212,0.10851778835058212,1.1146247356975605,0.8971629356261993,1
odql_11679--16/16_33164.txt#0_0,short,tasmania,1.0,0.2483789010293549,0.12418945051467745,1.1322303523047144,0.8900121719732498,2
odql_11538--73/73_1736878.txt#0_0,short,marshalsea,1.0,0.02830949977715136,0.00943649992571712,1.009481164071663,0.9906956778858363,3
qw_8762--197/197_3207893.txt#0_1,short,a horizontal desire,1.0,6.200308933854103,1.5500772334635258,4.711834079803581,0.5860636691269702,4
bb_439--197/197_197490.txt#0_0,short,general belgrano,1.0,0.650123893195989,0.16253097329899724,1.1764847574985284,0.879969109204743,4
bb_7724--184/184_1002731.txt#0_0,short,albatross,0.0,0.0562746445632456,0.0187582148544152,1.0189352554224274,0.9817592152837312,3
qw_439--187/187_1058077.txt#0_2,short,narcolepsy,1.0,0.0026625209084158996,0.0008875069694719665,1.0008879009203184,0.9991134910502879,3
qw_9384--195/195_1224988.txt#0_1,short,madagascar,1.0,0.002765143130091019,0.0013825715650455095,1.0013835277577292,0.9986192310940427,2
sfq_21423--144/144_2788272.txt#0_0,short,byward tower,0.0,0.16565692331641912,0.05521897443880638,1.0567719953959762,0.9480407672255522,3
sfq_25451--37/37_2031222.txt#0_1,short,dark rum,1.0,0.23216473730280995,0.11608236865140498,1.1230883755984162,0.896219864696142,2
qf_545--48/48_2849118.txt#0_1,short,cairngorms,1.0,0.06904947610379963,0.013809895220759927,1.0139056922983385,0.986639407361538,5
sfq_668--20/20_1363097.txt#0_1,short,demi moore,1.0,1.3003440075550543,0.4334480025183514,1.542567139885704,0.7560821974085131,3
qw_8999--56/56_1218189.txt#0_2,short,(you're the) devil in disguise,0.0,2.542369122398668,0.3177961402998335,1.3740961098517894,0.8822766835015922,8
sfq_1377--91/91_1497797.txt#0_1,short,yarrow,0.0,0.054452978074493785,0.027226489037246893,1.0276005166606141,0.9735015093820655,2
wh_4269--173/173_235742.txt#0_0,short,abraham lincoln,1.0,0.010671721637663723,0.0026679304094159306,1.0026714925028521,0.9973453623072974,4
sfq_15401--88/88_1813633.txt#0_1,short,Xenophon,1.0,0.05205560027388856,0.02602780013694428,1.0263694812889674,0.9746230206468401,2
sfq_3917--169/169_1555303.txt#0_0,short,apollo,1.0,0.15365971335268114,0.07682985667634057,1.0798583300760787,0.9287684727900349,2
