[34m[1mwandb[0m: Detected [openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
2025-11-21 10:45:39 WARNING  Recompute accuracy enabled. This does not apply to precomputed p_true!
2025-11-21 10:45:39 INFO     Initializing Llama judge model: Llama-3.1-8B
2025-11-21 10:45:39 INFO     Using HuggingFace model cache directory: /system/user/studentwork/boldis/huggingface-cache/hub
2025-11-21 10:45:39 INFO     Detected model size: 8b
Initializing model:  Llama-3.1-8B and base: meta-llama
2025-11-21 10:45:39 INFO     Using device_map="auto" - will distribute across 4 GPU(s)
2025-11-21 10:45:39 INFO     Max memory per GPU: {0: '11GiB', 1: '11GiB', 2: '11GiB', 3: '11GiB'}
Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:08<00:00,  2.06s/it]
2025-11-21 10:45:49 INFO     Found uncertainty_measures.pkl locally at ./boldis/uncertainty/wandb/run-20251121_092732-wiboofpr/files/uncertainty_measures.pkl
2025-11-21 10:45:49 INFO     Found validation_generations.pkl locally at ./boldis/uncertainty/wandb/run-20251121_092732-wiboofpr/files/validation_generations.pkl
2025-11-21 10:45:49 INFO     Recomputing accuracy!
2025-11-21 10:45:53 WARNING  Generation interrupted by max_token limit.
2025-11-21 10:45:53 INFO     Recomputed accuracy!
2025-11-21 10:45:53 INFO     validation_is_true: 1.000000
2025-11-21 10:45:53 INFO     Recomputing accuracy!
2025-11-21 10:45:56 WARNING  Generation interrupted by max_token limit.
2025-11-21 10:45:56 INFO     Recomputed accuracy!
2025-11-21 10:45:56 INFO     validation_is_true: 1.000000
2025-11-21 10:45:56 INFO     Recomputing accuracy!
2025-11-21 10:45:59 WARNING  Generation interrupted by max_token limit.
2025-11-21 10:45:59 INFO     Recomputed accuracy!
2025-11-21 10:45:59 INFO     validation_is_true: 1.000000
2025-11-21 10:45:59 INFO     Recomputing accuracy!
2025-11-21 10:46:02 WARNING  Generation interrupted by max_token limit.
2025-11-21 10:46:02 INFO     Recomputed accuracy!
2025-11-21 10:46:02 INFO     validation_is_true: 1.000000
2025-11-21 10:46:02 INFO     Recomputing accuracy!
2025-11-21 10:46:05 WARNING  Generation interrupted by max_token limit.
2025-11-21 10:46:05 INFO     Recomputed accuracy!
2025-11-21 10:46:05 INFO     validation_is_true: 1.000000
2025-11-21 10:46:05 INFO     Recomputing accuracy!
2025-11-21 10:46:08 WARNING  Generation interrupted by max_token limit.
2025-11-21 10:46:08 INFO     Recomputed accuracy!
