[34m[1mwandb[0m: Detected [openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
2025-11-22 11:07:54 WARNING  Recompute accuracy enabled. This does not apply to precomputed p_true!
2025-11-22 11:07:54 INFO     Initializing Llama judge model: Llama-3.1-8B
2025-11-22 11:07:54 INFO     Using HuggingFace model cache directory: /system/user/studentwork/boldis/huggingface-cache/hub
2025-11-22 11:07:56 INFO     Detected model size: 8b
Initializing model:  Llama-3.1-8B and base: meta-llama
2025-11-22 11:07:56 INFO     Using device_map="auto" - will distribute across 4 GPU(s)
2025-11-22 11:07:56 INFO     Max memory per GPU: {0: '11GiB', 1: '11GiB', 2: '11GiB', 3: '11GiB'}
Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:08<00:00,  2.08s/it]
2025-11-22 11:08:06 INFO     Found uncertainty_measures.pkl locally at ./boldis/uncertainty/wandb/run-20251121_190025-5qvhbs97/files/uncertainty_measures.pkl
2025-11-22 11:08:06 INFO     Found validation_generations.pkl locally at ./boldis/uncertainty/wandb/run-20251121_190025-5qvhbs97/files/validation_generations.pkl
2025-11-22 11:08:06 INFO     Recomputing accuracy!
2025-11-22 11:08:09 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:09 INFO     Recomputed accuracy!
2025-11-22 11:08:09 INFO     validation_is_true: 1.000000
2025-11-22 11:08:09 INFO     Recomputing accuracy!
2025-11-22 11:08:12 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:12 INFO     Recomputed accuracy!
2025-11-22 11:08:12 INFO     validation_is_true: 1.000000
2025-11-22 11:08:12 INFO     Recomputing accuracy!
2025-11-22 11:08:15 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:15 INFO     Recomputed accuracy!
2025-11-22 11:08:15 INFO     validation_is_true: 1.000000
2025-11-22 11:08:15 INFO     Recomputing accuracy!
2025-11-22 11:08:19 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:19 INFO     Recomputed accuracy!
2025-11-22 11:08:19 INFO     validation_is_true: 1.000000
2025-11-22 11:08:19 INFO     Recomputing accuracy!
2025-11-22 11:08:22 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:22 INFO     Recomputed accuracy!
2025-11-22 11:08:22 INFO     validation_is_true: 1.000000
2025-11-22 11:08:22 INFO     Recomputing accuracy!
2025-11-22 11:08:25 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:25 INFO     Recomputed accuracy!
2025-11-22 11:08:25 INFO     validation_is_true: 1.000000
2025-11-22 11:08:25 INFO     Recomputing accuracy!
2025-11-22 11:08:26 INFO     Recomputed accuracy!
2025-11-22 11:08:26 INFO     validation_is_true: 0.000000
2025-11-22 11:08:26 INFO     Recomputing accuracy!
2025-11-22 11:08:29 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:29 INFO     Recomputed accuracy!
2025-11-22 11:08:29 INFO     validation_is_true: 1.000000
2025-11-22 11:08:29 INFO     Recomputing accuracy!
2025-11-22 11:08:31 INFO     Recomputed accuracy!
2025-11-22 11:08:31 INFO     validation_is_true: 1.000000
2025-11-22 11:08:31 INFO     Recomputing accuracy!
2025-11-22 11:08:34 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:34 INFO     Recomputed accuracy!
2025-11-22 11:08:34 INFO     validation_is_true: 1.000000
2025-11-22 11:08:34 INFO     Recomputing accuracy!
2025-11-22 11:08:37 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:37 INFO     Recomputed accuracy!
2025-11-22 11:08:37 INFO     validation_is_true: 1.000000
2025-11-22 11:08:37 INFO     Recomputing accuracy!
2025-11-22 11:08:40 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:40 INFO     Recomputed accuracy!
2025-11-22 11:08:40 INFO     validation_is_true: 1.000000
2025-11-22 11:08:40 INFO     Recomputing accuracy!
2025-11-22 11:08:42 INFO     Recomputed accuracy!
2025-11-22 11:08:42 INFO     validation_is_true: 1.000000
2025-11-22 11:08:42 INFO     Recomputing accuracy!
2025-11-22 11:08:45 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:45 INFO     Recomputed accuracy!
2025-11-22 11:08:45 INFO     validation_is_true: 1.000000
2025-11-22 11:08:45 INFO     Recomputing accuracy!
2025-11-22 11:08:48 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:48 INFO     Recomputed accuracy!
2025-11-22 11:08:48 INFO     validation_is_true: 1.000000
2025-11-22 11:08:48 INFO     Recomputing accuracy!
2025-11-22 11:08:51 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:51 INFO     Recomputed accuracy!
2025-11-22 11:08:51 INFO     validation_is_true: 1.000000
2025-11-22 11:08:51 INFO     Recomputing accuracy!
2025-11-22 11:08:54 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:54 INFO     Recomputed accuracy!
2025-11-22 11:08:54 INFO     validation_is_true: 1.000000
2025-11-22 11:08:54 INFO     Recomputing accuracy!
2025-11-22 11:08:57 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:08:57 INFO     Recomputed accuracy!
2025-11-22 11:08:57 INFO     validation_is_true: 1.000000
2025-11-22 11:08:57 INFO     Recomputing accuracy!
2025-11-22 11:09:00 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:09:00 INFO     Recomputed accuracy!
2025-11-22 11:09:00 INFO     validation_is_true: 1.000000
2025-11-22 11:09:00 INFO     Recomputing accuracy!
2025-11-22 11:09:03 INFO     Recomputed accuracy!
2025-11-22 11:09:03 INFO     validation_is_true: 1.000000
2025-11-22 11:09:03 INFO     Recomputing accuracy!
2025-11-22 11:09:06 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:09:06 INFO     Recomputed accuracy!
2025-11-22 11:09:06 INFO     validation_is_true: 1.000000
2025-11-22 11:09:06 INFO     Recomputing accuracy!
2025-11-22 11:09:09 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:09:09 INFO     Recomputed accuracy!
2025-11-22 11:09:09 INFO     validation_is_true: 1.000000
2025-11-22 11:09:09 INFO     Recomputing accuracy!
2025-11-22 11:09:12 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:09:12 INFO     Recomputed accuracy!
2025-11-22 11:09:12 INFO     validation_is_true: 0.000000
2025-11-22 11:09:12 INFO     Recomputing accuracy!
2025-11-22 11:09:15 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:09:15 INFO     Recomputed accuracy!
2025-11-22 11:09:15 INFO     validation_is_true: 1.000000
2025-11-22 11:09:15 INFO     Recomputing accuracy!
2025-11-22 11:09:18 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:09:18 INFO     Recomputed accuracy!
2025-11-22 11:09:18 INFO     validation_is_true: 1.000000
2025-11-22 11:09:18 INFO     Recomputing accuracy!
2025-11-22 11:09:21 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:09:21 INFO     Recomputed accuracy!
2025-11-22 11:09:21 INFO     validation_is_true: 1.000000
2025-11-22 11:09:21 INFO     Recomputing accuracy!
2025-11-22 11:09:25 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:09:25 INFO     Recomputed accuracy!
2025-11-22 11:09:25 INFO     validation_is_true: 1.000000
2025-11-22 11:09:25 INFO     Recomputing accuracy!
2025-11-22 11:09:28 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:09:28 INFO     Recomputed accuracy!
2025-11-22 11:09:28 INFO     validation_is_true: 1.000000
2025-11-22 11:09:28 INFO     Recomputing accuracy!
2025-11-22 11:09:31 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:09:31 INFO     Recomputed accuracy!
2025-11-22 11:09:31 INFO     validation_is_true: 1.000000
2025-11-22 11:09:31 INFO     Recomputing accuracy!
2025-11-22 11:09:32 INFO     Recomputed accuracy!
2025-11-22 11:09:32 INFO     validation_is_true: 1.000000
2025-11-22 11:09:32 INFO     Recomputing accuracy!
2025-11-22 11:09:33 INFO     Recomputed accuracy!
2025-11-22 11:09:33 INFO     validation_is_true: 1.000000
2025-11-22 11:09:33 INFO     Recomputing accuracy!
2025-11-22 11:09:36 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:09:36 INFO     Recomputed accuracy!
2025-11-22 11:09:36 INFO     validation_is_true: 1.000000
2025-11-22 11:09:36 INFO     Recomputing accuracy!
2025-11-22 11:09:39 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:09:39 INFO     Recomputed accuracy!
2025-11-22 11:09:39 INFO     validation_is_true: 1.000000
2025-11-22 11:09:39 INFO     Recomputing accuracy!
2025-11-22 11:09:42 WARNING  Generation interrupted by max_token limit.
2025-11-22 11:09:42 INFO     Recomputed accuracy!
